usage,evdev,xkb,win,mac,name,id
0x0700e6,0x0064,0x006c,0xe038,0x003d,"""AltRight""",ALT_RIGHT
0x0700e7,0x007e,0x0086,0xe05c,0x0036,"""MetaRight""",META_RIGHT
0x0c0060,0x0166,0x016e,0x0000,0xffff,NULL,INFO
0x0c0061,0x0172,0x017a,0x0000,0xffff,NULL,CLOSED_CAPTION_TOGGLE
0x0c006f,0x00e1,0x00e9,0x0000,0xffff,"""BrightnessUp""",BRIGHTNESS_UP
0x0c0070,0x00e0,0x00e8,0x0000,0xffff,"""BrightnessDown""",BRIGHTNESS_DOWN
0x0c0072,0x01af,0x01b7,0x0000,0xffff,NULL,BRIGHTNESS_TOGGLE
0x0c0073,0x0250,0x0258,0x0000,0xffff,NULL,BRIGHTNESS_MINIMIUM
0x0c0074,0x0251,0x0259,0x0000,0xffff,NULL,BRIGHTNESS_MAXIMUM
0x0c0075,0x00f4,0x00fc,0x0000,0xffff,NULL,BRIGHTNESS_AUTO
0x0c0079,0x00e6,0x00ee,0x0000,0xffff,NULL,KBD_ILLUM_UP
0x0c007a,0x00e5,0x00ed,0x0000,0xffff,NULL,KBD_ILLUM_DOWN
0x0c0083,0x0195,0x019d,0x0000,0xffff,NULL,MEDIA_LAST
0x0c008c,0x00a9,0x00b1,0x0000,0xffff,NULL,LAUNCH_PHONE
0x0c008d,0x016a,0x0172,0x0000,0xffff,NULL,PROGRAM_GUIDE
0x0c0094,0x00ae,0x00b6,0x0000,0xffff,NULL,EXIT
0x0c009c,0x019a,0x01a2,0x0000,0xffff,NULL,CHANNEL_UP
0x0c009d,0x019b,0x01a3,0x0000,0xffff,NULL,CHANNEL_DOWN
0x0c00b0,0x00cf,0x00d7,0x0000,0xffff,"""MediaPlay""",MEDIA_PLAY
0x0c00b1,0x00c9,0x00d1,0x0000,0xffff,"""MediaPause""",MEDIA_PAUSE
0x0c00b2,0x00a7,0x00af,0x0000,0xffff,"""MediaRecord""",MEDIA_RECORD
0x0c00b3,0x00d0,0x00d8,0x0000,0xffff,"""MediaFastForward""",MEDIA_FAST_FORWARD
0x0c00b4,0x00a8,0x00b0,0x0000,0xffff,"""MediaRewind""",MEDIA_REWIND
0x0c00b5,0x00a3,0x00ab,0xe019,0xffff,"""MediaTrackNext""",MEDIA_TRACK_NEXT
0x0c00b6,0x00a5,0x00ad,0xe010,0xffff,"""MediaTrackPrevious""",MEDIA_TRACK_PREVIOUS
0x0c00b7,0x00a6,0x00ae,0xe024,0xffff,"""MediaStop""",MEDIA_STOP
0x0c00b8,0x00a1,0x00a9,0xe02c,0xffff,"""Eject""",EJECT
0x0c00cd,0x00a4,0x00ac,0xe022,0xffff,"""MediaPlayPause""",MEDIA_PLAY_PAUSE
0x0c00cf,0x0246,0x024e,0x0000,0xffff,NULL,SPEECH_INPUT_TOGGLE
0x0c00e5,0x00d1,0x00d9,0x0000,0xffff,NULL,BASS_BOOST
0x0c00e6,0x0000,0x0000,0x0000,0xffff,NULL,SURROUND_MODE
0x0c0150,0x0000,0x0000,0x0000,0xffff,NULL,AUDIO_BALANCE_RIGHT
0x0c0151,0x0000,0x0000,0x0000,0xffff,NULL,AUDIO_BALANCE_LEFT
0x0c0152,0x0000,0x0000,0x0000,0xffff,NULL,AUDIO_BASS_INCREMENT
0x0c0153,0x0000,0x0000,0x0000,0xffff,NULL,AUDIO_BASS_DECREMENT
0x0c0154,0x0000,0x0000,0x0000,0xffff,NULL,AUDIO_TREBLE_INCREMENT
0x0c0155,0x0000,0x0000,0x0000,0xffff,NULL,AUDIO_TREBLE_DECREMENT
0x0c0183,0x00ab,0x00b3,0xe06d,0xffff,"""MediaSelect""",MEDIA_SELECT
0x0c0184,0x01a5,0x01ad,0x0000,0xffff,NULL,LAUNCH_WORD_PROCESSOR
0x0c0186,0x01a7,0x01af,0x0000,0xffff,NULL,LAUNCH_SPREADSHEET
0x0c018a,0x009b,0x00a3,0xe06c,0xffff,"""LaunchMail""",LAUNCH_MAIL
0x0c018d,0x01ad,0x01b5,0x0000,0xffff,NULL,LAUNCH_CONTACTS
0x0c018e,0x018d,0x0195,0x0000,0xffff,NULL,LAUNCH_CALENDAR
0x0c018f,0x0241,0x0249,0x0000,0xffff,NULL,LAUNCH_TASK_MANAGER
0x0c0190,0x0242,0x024a,0x0000,0xffff,NULL,LAUNCH_LOG
0x0c0192,0x008c,0x0094,0xe021,0xffff,"""LaunchApp2""",LAUNCH_APP2
0x0c0194,0x0090,0x0098,0xe06b,0xffff,"""LaunchApp1""",LAUNCH_APP1
0x0c0196,0x0096,0x009e,0x0000,0xffff,NULL,LAUNCH_INTERNET_BROWSER
0x0c019C,0x01b1,0x01b9,0x0000,0xffff,NULL,LOG_OFF
0x0c019e,0x0098,0x00a0,0x0000,0xffff,NULL,LOCK_SCREEN
0x0c019f,0x0243,0x024b,0x0000,0xffff,"""LaunchControlPanel""",LAUNCH_CONTROL_PANEL
0x0c01a2,0x0244,0x024c,0x0000,0xffff,"""SelectTask""",SELECT_TASK
0x0c01a7,0x00eb,0x00f3,0x0000,0xffff,NULL,LAUNCH_DOCUMENTS
0x0c01ab,0x01b0,0x01b8,0x0000,0xffff,NULL,SPELL_CHECK
0x0c01ae,0x0176,0x017e,0x0000,0xffff,NULL,LAUNCH_KEYBOARD_LAYOUT
0x0c01b1,0x0245,0x024d,0x0000,0xffff,"""LaunchScreenSaver""",LAUNCH_SCREEN_SAVER
0x0c01cb,0x0247,0x024f,0x0000,0xffff,"""LaunchAssistant""",LAUNCH_ASSISTANT
0x0c01b4,0x0000,0x0000,0x0000,0xffff,NULL,LAUNCH_FILE_BROWSER
0x0c01b7,0x0188,0x0190,0x0000,0xffff,NULL,LAUNCH_AUDIO_BROWSER
0x0c0201,0x00b5,0x00bd,0x0000,0xffff,NULL,NEW
0x0c0203,0x00ce,0x00d6,0x0000,0xffff,NULL,CLOSE
0x0c0207,0x00ea,0x00f2,0x0000,0xffff,NULL,SAVE
0x0c0208,0x00d2,0x00da,0x0000,0xffff,NULL,PRINT
